 8/11	これはこの色が好き
10:02	ゆうげん	貧血で倒れそう
10:02	あすか 11/19 8/11	よくあるやつが何かわからん(笑)
10:13	ゆうげん	"身体測定
尿検査
レントゲン"
10:13	ゆうげん	まで終わった
10:22	あすか 11/19 8/11	結構しっかりするのね
10:23	ゆうげん	採血あった
10:23	ゆうげん	横になってやった
10:23	ゆうげん	ナギのおしりで
10:23	ゆうげん	何とかなった
10:30	あすか 11/19 8/11	採血無事終えたのね
10:30	あすか 11/19 8/11	ナギのおしりの動画みたの？(笑)
10:30	ゆうげん	思い出してた
10:30	ゆうげん	帰ってます
10:30	あすか 11/19 8/11	思い出してたのね
10:31	あすか 11/19 8/11	このまま役所行くの？
10:31	あすか 11/19 8/11	健康診断お疲れ様
10:32	ゆうげん	このまま帰って役所行くよ
10:36	あすか 11/19 8/11	暑そう…
10:36	あすか 11/19 8/11	気をつけてね
10:40	ゆうげん	帰り
10:40	ゆうげん	ほぼ地下やから大丈夫
10:48	あすか 11/19 8/11	印鑑証明郵便局から出すの？
10:48	ゆうげん	郵便局からだすよ
10:48	ゆうげん	近いし
11:12	ゆうげん	最寄り駅着いたから
11:12	ゆうげん	今から役所行きます
11:38	あすか 11/19 8/11	お昼ご飯タイム
11:38	あすか 11/19 8/11	役所混んでる？
11:41	ゆうげん	全然大丈夫
11:41	ゆうげん	すぐ取れた
11:41	ゆうげん	今から郵便局
11:41	あすか 11/19 8/11	よかったよかった
11:41	あすか 11/19 8/11	ありがとうね
11:55	あすか 11/19 8/11	出せた？？
11:55	ゆうげん	おくっtq
11:55	あすか 11/19 8/11	ありがとう
11:55	あすか 11/19 8/11	気をつけて帰ってね
11:55	あすか 11/19 8/11	お昼ご飯しっかり食べてね
11:58	ゆうげん	あちい
11:58	ゆうげん	死ぬかと思った
11:58	あすか 11/19 8/11	暑いよね…
11:58	あすか 11/19 8/11	もうお家つく？
11:59	ゆうげん	ついや
11:59	ゆうげん	tq
11:59	ゆうげん	た
11:59	ゆうげん	あつい
11:59	あすか 11/19 8/11	水分＆塩分補給と
11:59	あすか 11/19 8/11	そしてしっかり涼んでね
12:06	ゆうげん	お腹空いた
13:15	あすか 11/19 8/11	なんか食べた？
13:15	ゆうげん	お蕎麦
13:18	あすか 11/19 8/11	お蕎麦！いいね
13:19	ゆうげん	おいしいね
13:19	ゆうげん	一緒にお蕎麦打ちたい
13:52	ゆうげん	あすかのお母さんの
13:52	ゆうげん	プレゼントも
13:52	ゆうげん	もう買うから
13:52	ゆうげん	誕生日に渡したってな
15:45	あすか 11/19 8/11	"お蕎麦打ってみたい！
やったことない"
15:45	あすか 11/19 8/11	おぉ、ありがとうございます！
15:46	ゆうげん	これで3人分
15:46	あすか 11/19 8/11	ありがとう！！！！
15:46	あすか 11/19 8/11	母何にするの？
15:46	ゆうげん	首のマッサージ機にしようかなと
15:46	あすか 11/19 8/11	お、いいね！
15:49	ゆうげん	使いまわせるしね
17:50	あすか 11/19 8/11	使いまわせる？
17:51	あすか 11/19 8/11	今日も安定に残業かな？？
18:02	あすか 11/19 8/11	ゆーくん
18:02	あすか 11/19 8/11	お仕事終わったら
18:02	あすか 11/19 8/11	教えてーー
18:06	ゆうげん	安定の残業
18:11	あすか 11/19 8/11	だよね
18:11	あすか 11/19 8/11	無理せず頑張ってください
18:40	ゆうげん	今分からないとこあって
18:40	ゆうげん	つまづいてる
19:00	あすか 11/19 8/11	そなのか。。
19:00	あすか 11/19 8/11	最近は新しいことよくやってるんやんね
19:01	あすか 11/19 8/11	[写真]
19:01	あすか 11/19 8/11	[写真]
19:02	ゆうげん	うわ
19:02	ゆうげん	きゅうり
19:02	ゆうげん	ボンジュールなぎ
19:02	あすか 11/19 8/11	きゅうり美味しそ〜
19:02	あすか 11/19 8/11	ていいながら
19:03	あすか 11/19 8/11	一口かじってトマトとご飯に集中してる
19:06	あすか 11/19 8/11	パジャマってこんなんがいいとかある？？
19:14	あすか 11/19 8/11	[動画]
19:16	ゆうげん	かじかじ
19:17	ゆうげん	パジャマは
19:17	ゆうげん	まあそんなにこだわりはないかな
19:20	あすか 11/19 8/11	ナギの秋冬のパジャマどうしよかな〜て思って
19:20	あすか 11/19 8/11	まだ早いけど(笑)
19:40	ゆうげん	秋冬ね
19:40	ゆうげん	どんな素材がいいかな
20:10	あすか 11/19 8/11	どんなんがいいかなぁ
20:37	ゆうげん	まだあんまり発売されてないんよね
20:39	あすか 11/19 8/11	うんうん、されてないね
20:43	あすか 11/19 8/11	ナギの誕生日服どーしよ
20:43	ゆうげん	それも決まってない
20:43	あすか 11/19 8/11	[写真]
20:43	あすか 11/19 8/11	大本命こんな感じやねんけど
20:43	あすか 11/19 8/11	[写真]
20:43	あすか 11/19 8/11	ZOZOはこれがまだ近い…かな
20:43	ゆうげん	セーラーか
20:44	あすか 11/19 8/11	でもセットアップじゃないよなぁ
20:44	あすか 11/19 8/11	そう、セーラーかわいい
20:45	ゆうげん	https://pairmanon.com/collections/simple
20:45	ゆうげん	ここでいいのない?
20:45	ゆうげん	リンクコーデもあるっぽい
20:48	あすか 11/19 8/11	これペアマノンやんな？
20:48	ゆうげん	そそ
20:48	あすか 11/19 8/11	ZOZOであるやつはあったけど
20:48	あすか 11/19 8/11	セーラー
20:48	ゆうげん	ZOZOね
20:48	あすか 11/19 8/11	それが
20:48	あすか 11/19 8/11	これやねん
20:48	あすか 11/19 8/11	でも本命とは少し遠い
20:50	ゆうげん	ふむ
20:51	あすか 11/19 8/11	んーーー
20:57	ゆうげん	上のセーラーがベストなん?
20:57	あすか 11/19 8/11	[写真]
20:57	あすか 11/19 8/11	これ？
20:58	ゆうげん	そう
20:58	あすか 11/19 8/11	うん、色々見た中でこれが一番可愛いなーとは思う
20:58	あすか 11/19 8/11	けど、間に合うかわからん
20:58	ゆうげん	pairmanon女の子可愛いなぁ
20:58	ゆうげん	そんなに遅いんか
20:58	あすか 11/19 8/11	女の子はどこもかわいい
20:58	あすか 11/19 8/11	いやわからん
20:59	あすか 11/19 8/11	到着予定とか見てないから
20:59	ゆうげん	[写真]
20:59	ゆうげん	これはあかんの?
21:00	あすか 11/19 8/11	これはなー
21:00	あすか 11/19 8/11	めっちゃ可愛いねんけど
21:00	あすか 11/19 8/11	普段着感ある
21:03	ゆうげん	服じゃないけど
21:03	ゆうげん	[写真]
21:03	ゆうげん	この帽子絶対買うわ
21:04	あすか 11/19 8/11	暖かそ
21:04	ゆうげん	めっちゃ可愛い
21:12	ゆうげん	[写真]
21:12	ゆうげん	[写真]
21:12	ゆうげん	[写真]
21:12	ゆうげん	[写真]
21:12	ゆうげん	これ欲しいから
21:13	ゆうげん	残しとく
21:13	あすか 11/19 8/11	なんかゆーくんぽ
21:13	ゆうげん	だんだんパパっぽくなるなぎ
21:14	ゆうげん	このボーダーめっちゃ好き
21:17	あすか 11/19 8/11	ゆーくんぽいまじ
21:17	あすか 11/19 8/11	私好みの服も買ってあげられるようにお小遣い貯めよっと
21:39	ゆうげん	上のはあすか好みじゃないの?
22:06	あすか 11/19 8/11	ゆー君が選んでるやつ？
22:10	ゆうげん	そそ
22:10	ゆうげん	俺があすかに送ったeteのリング
22:11	ゆうげん	サイズなんぼやっけ
22:15	あすか 11/19 8/11	"ゆー君が選んでるやつは
ダサいとかは思わんけど
特別好みでもない(笑)"
22:16	あすか 11/19 8/11	[写真]
22:16	あすか 11/19 8/11	[写真]
22:16	あすか 11/19 8/11	[写真]
22:16	あすか 11/19 8/11	[写真]
22:16	あすか 11/19 8/11	[写真]
22:16	あすか 11/19 8/11	[写真]
22:16	あすか 11/19 8/11	私はもうね、こんな感じ
22:17	あすか 11/19 8/11	eteのリングのサイズとかどこに書いてるの？
22:17	ゆうげん	書いてないか
22:17	あすか 11/19 8/11	書いてなさげだな
22:21	ゆうげん	単色やな
22:21	ゆうげん	ほぼ
22:30	ゆうげん	あすかの好きなもののブランド
22:30	ゆうげん	だいたい韓国で発送遅いわ
22:54	あすか 11/19 8/11	そうなのよ〜

2022/08/02(火)
06:35	ゆうげん	おはよう
08:12	あすか 11/19 8/11	おはよう
08:12	ゆうげん	今日も暑すぎる
08:12	ゆうげん	まじ出社いや
08:13	あすか 11/19 8/11	今日は特にやばいらしいね…
08:13	あすか 11/19 8/11	ほんと気をつけて
08:13	ゆうげん	気分悪い体で
08:13	ゆうげん	帰ろうかな
08:15	あすか 11/19 8/11	うん、無理しないことが一番
08:15	あすか 11/19 8/11	今日まじやばいって昨日ニュースでやってた
08:16	あすか 11/19 8/11	[写真]
08:16	あすか 11/19 8/11	今日も出てる
08:16	あすか 11/19 8/11	まじ外出るの危険
08:31	あすか 11/19 8/11	大丈夫？
08:31	ゆうげん	まだ大丈夫
08:31	ゆうげん	やべえよな
08:31	ゆうげん	出社アホくせ
08:32	あすか 11/19 8/11	出社するしかないならまだしも
08:32	あすか 11/19 8/11	"テレワークでやれることを
出社してするのはアホらしー
てなるよね"
08:33	あすか 11/19 8/11	まじ危険な暑さやから気をつけて
08:33	あすか 11/19 8/11	無理せずね!!!!!
08:33	ゆうげん	ありがとう
08:33	ゆうげん	あすか無理せずね
08:34	あすか 11/19 8/11	うん、ありがとね
08:35	あすか 11/19 8/11	家の中に居ても暑い
08:36	ゆうげん	湿気がな
08:36	あすか 11/19 8/11	[写真]
08:36	あすか 11/19 8/11	[写真]
08:36	あすか 11/19 8/11	[写真]
08:36	ゆうげん	半端ない
08:36	あすか 11/19 8/11	昨日の夜急に布団丸かぶり
08:36	あすか 11/19 8/11	湿気マジやばい
08:37	ゆうげん	ナギは癒し
08:38	あすか 11/19 8/11	癒しやけど疲れますよ
08:39	あすか 11/19 8/11	[スタンプ]
08:39	あすか 11/19 8/11	なんか、みんな結構ひまわり畑とか風鈴いっぱい飾ってるとことかお祭りとか
08:39	あすか 11/19 8/11	お出かけしてるから凄いなって思う
08:40	あすか 11/19 8/11	この暑さと気持ち悪くなるのが怖くてお出かけ恐怖症
08:40	あすか 11/19 8/11	夏らしいことしたいんやけどなぁぁぁ
08:41	ゆうげん	その家おる限り
08:41	ゆうげん	あらゆるイベントが無理
08:42	あすか 11/19 8/11	お出かけは家関係なさそやけど
08:43	ゆうげん	"あるやん
荷物ないし
車の手配
俺の滞在期間
タイミング"
08:43	ゆうげん	全てアウト
08:43	あすか 11/19 8/11	この暑い中よく外で過ごすお出かけできるなーて
08:43	あすか 11/19 8/11	そういう意味でみんなすごいなーて思ってる
08:44	ゆうげん	車で移動したらそこまで暑くないしな
08:44	あすか 11/19 8/11	私は暑さと気持ち悪くなるのが怖くてお出かけこわい
08:44	ゆうげん	施設入れたら涼しいし
08:44	あすか 11/19 8/11	いや、車で涼んでも気持ち悪かったもん、労金行った時とか
08:45	あすか 11/19 8/11	この暑さと気持ち悪くなるせいでお出かけできないしこの体調なんのせい？いつ治る？て病みそうになる(笑)
08:45	ゆうげん	"自分らで言ったら休憩とかよったり自由やけど
自分らだけじゃなかったらそうも出来へんし

まあ結局その家おるからやな"
08:46	あすか 11/19 8/11	みんな暑い暑い言いながらもお出かけできてるもんな、すごい
08:46	ゆうげん	そのしんどさもストレスかなりあるやろうし
08:46	あすか 11/19 8/11	いや、そういうことじゃないねんなー
08:46	あすか 11/19 8/11	この体調？のせいで病みそう
08:47	あすか 11/19 8/11	"だってさ、労金行く時とか
短い距離歩いただけやで？
やのに労金ついてもしんどかったもん、謎"
08:47	あすか 11/19 8/11	そんなんでひまわり見に行ったり夏らしいとこお出かけしたりって恐怖すぎる
08:47	あすか 11/19 8/11	結局出社したのー？
08:48	ゆうげん	体調というか環境のせいよ
08:48	ゆうげん	体調も
08:50	あすか 11/19 8/11	そうなんかなーて不安になる
08:50	あすか 11/19 8/11	毎年こんなんなったら嫌やなぁ
08:50	ゆうげん	気温とストレスよ
08:50	ゆうげん	まじで
08:50	あすか 11/19 8/11	"そもそも暑さのせいなのか
ほんとにストレスなのか…とか"
08:52	あすか 11/19 8/11	まぁ確かに、ゆー君がおれば行けそうな時に行けそうなとこ行けるし
08:52	あすか 11/19 8/11	もっと出かけられてるのかなとかは思うけど。。
09:26	あすか 11/19 8/11	？
09:44	ゆうげん	したよ
12:30	ゆうげん	俺が問題なく過ごせる家さえあればあすかもストレス軽減なのよな
13:12	ゆうげん	やばい
13:12	ゆうげん	あすかの靴
13:12	ゆうげん	めっちゃセールで
13:12	ゆうげん	買っちゃった
16:22	ゆうげん	"元値125000
買値35000"
17:20	あすか 11/19 8/11	んー、まぁ一部軽減って感じ？わかんない
17:20	あすか 11/19 8/11	靴たっか！
17:22	ゆうげん	最悪転売もできる
17:22	ゆうげん	こんな値引きはめったにないから
17:22	ゆうげん	即決してしまった
17:23	あすか 11/19 8/11	そんなお高い靴どこに履いていけるやろ、、笑
17:24	ゆうげん	[写真]
17:24	ゆうげん	しかも白
17:24	ゆうげん	でも実はラバー素材で
17:24	ゆうげん	雨降っても大丈夫なやつ
17:31	ゆうげん	合わんかったら売るから大丈夫
17:47	あすか 11/19 8/11	真っ白じゃん！やば
17:47	あすか 11/19 8/11	ラバー素材てなんだ
17:47	ゆうげん	ゴム製
17:47	ゆうげん	レインブーツ
17:53	ゆうげん	あと
17:53	ゆうげん	アップルウォッチのバンド
17:53	ゆうげん	淡いベージュの
17:53	ゆうげん	あるから持ってくね
18:03	あすか 11/19 8/11	レインブーツなのね〜
18:03	あすか 11/19 8/11	誕生日プレゼントじゃなかったの？？ありがとー
18:06	ゆうげん	誕生日は
18:06	ゆうげん	手作りの何かやから
18:06	ゆうげん	値段じゃない価値送る
18:14	ゆうげん	土曜日は
18:14	ゆうげん	おうちで待っててな
18:14	ゆうげん	車で迎えに行く
18:14	ゆうげん	10:00前後
18:15	ゆうげん	俺も一緒に車乗ってく
19:13	あすか 11/19 8/11	お家でいいの？
19:27	ゆうげん	おうち
19:27	ゆうげん	おってな
19:44	あすか 11/19 8/11	わかった、ありがとう
19:46	ゆうげん	一緒に乗って
19:46	ゆうげん	渡すもん渡していくな
19:46	ゆうげん	ナギのシャンプーとか
20:24	あすか 11/19 8/11	あ、ありがとう！！
20:25	あすか 11/19 8/11	お風呂あがりました
20:29	ゆうげん	おかえり
20:29	ゆうげん	素っ裸で
20:29	ゆうげん	晩御飯
20:29	ゆうげん	作ってる
20:29	ゆうげん	暑すぎる
20:43	あすか 11/19 8/11	冷房付けてるん？？
20:43	あすか 11/19 8/11	晩ご飯何ーー
20:43	ゆうげん	つけてる
20:43	ゆうげん	除湿
20:43	ゆうげん	この前の黒毛和牛スジ肉焼肉
20:43	ゆうげん	新しいのかった
20:43	あすか 11/19 8/11	ある程度経ったら冷房にし〜
20:43	あすか 11/19 8/11	またスジ肉買ったのね
20:43	あすか 11/19 8/11	野菜も食べてね
20:47	ゆうげん	ほうれん草スープのむ
20:47	ゆうげん	お昼はトマトスープ
20:47	ゆうげん	スープスープスープ
20:47	ゆうげん	[スタンプ]
20:48	あすか 11/19 8/11	あんまり野菜野菜してないけどとらないよりマシだね
20:48	あすか 11/19 8/11	https://www.baker-kz.com/items/62300929?fbclid=PAAaa8xsrXHdDveWsOQS6Bv1StYlQZCH_VebSo7JPgAL6XzH3jhcY0zOjNwTQ_aem_AatIFW34U977BOzaiqLzfa5DiQJu56hIJRr6n3n8uCn-Wnv3izDtbrkQcKpQDaargNODo61MO84J-U3n20n-xvOhWD8yvY8RRbYbWOLteFG2WtWaFBp-WOIV_LMgZqI5XFE
20:49	あすか 11/19 8/11	これ在庫あるかな。。
20:50	ゆうげん	これのベージュ?
20:51	あすか 11/19 8/11	そそ、べーじゅ
20:51	ゆうげん	あるんじゃない?
20:53	あすか 11/19 8/11	どう？このふく
20:56	ゆうげん	ちょっと
20:56	ゆうげん	女の子やけど
20:56	ゆうげん	可愛い
20:56	ゆうげん	送料高そう
20:57	あすか 11/19 8/11	送料高そうか
20:57	あすか 11/19 8/11	なんかいいのないかね
20:58	ゆうげん	これでもいいと思うで?
20:58	ゆうげん	一応
20:58	ゆうげん	[写真]
20:58	ゆうげん	これはもう頼んでる
21:05	ゆうげん	[写真]
21:05	ゆうげん	あとこのパンツ
21:05	ゆうげん	今セールで1/4の価格やった
21:05	ゆうげん	490えん
21:06	あすか 11/19 8/11	さっきのセーラー購入できそ？
21:06	あすか 11/19 8/11	最近ゆーくん
21:06	あすか 11/19 8/11	ペアマノンハマってるの？
21:06	あすか 11/19 8/11	これはこれでかわいいよね
21:07	ゆうげん	[写真]
21:07	ゆうげん	これ買ったやつ
21:08	ゆうげん	写真の雰囲気好きなのと
21:08	ゆうげん	ギリあすかもすきnかなと
21:08	ゆうげん	さっきのセーラーあすかが頼んでよ
21:08	ゆうげん	全部で1980円
21:11	ゆうげん	おさらもだいぶ揃った
21:11	ゆうげん	早くあすかのご飯盛りたい
21:12	ゆうげん	[写真]
21:12	ゆうげん	これいいなぁ
21:12	ゆうげん	珪藻土
21:14	あすか 11/19 8/11	全部100なのか
21:15	ゆうげん	半袖半パンやし
21:15	ゆうげん	来年も視野に入れてる
21:15	ゆうげん	大きすぎるってあんまないやろうし
21:16	ゆうげん	あと國松母にも
21:16	ゆうげん	泊まらせてもらうから
21:16	ゆうげん	贈り物
21:16	ゆうげん	包丁
21:17	ゆうげん	[写真]
21:24	あすか 11/19 8/11	[写真]
21:24	あすか 11/19 8/11	目安
21:24	ゆうげん	ふむ
21:24	あすか 11/19 8/11	デカいとあんまり可愛く着れないこともあるから子ども服買うの難しいね
21:24	ゆうげん	90or100やったから
21:24	ゆうげん	100
21:24	あすか 11/19 8/11	包丁の贈り物ね、いいね
21:25	ゆうげん	刃がかけてるからな
21:25	あすか 11/19 8/11	ちなみに
21:25	あすか 11/19 8/11	私らがマイホームで使う包丁って
21:25	あすか 11/19 8/11	もう決まってるっけ？
21:25	あすか 11/19 8/11	[写真]
21:25	あすか 11/19 8/11	[写真]
21:25	あすか 11/19 8/11	[写真]
21:25	あすか 11/19 8/11	これどうしたらいい
21:26	ゆうげん	[写真]
21:26	ゆうげん	一応フルステンレスある
21:27	ゆうげん	amazonpayか
21:27	ゆうげん	な
21:31	ゆうげん	送料やっぱ高め
21:50	あすか 11/19 8/11	Amazonpayでどーやんの
21:50	あすか 11/19 8/11	フルステンレス？
21:51	あすか 11/19 8/11	[写真]
21:51	あすか 11/19 8/11	こういうセラミック？もほしいなぁ
21:51	あすか 11/19 8/11	使い慣れてるし使いやすい
21:51	ゆうげん	ふむ
21:52	ゆうげん	こういうの刃との接続部分錆びるから嫌い
21:52	ゆうげん	後で電話しながらしよ
22:32	ゆうげん	アイス買いに行こうかな
22:42	あすか 11/19 8/11	なぎ寝ました
22:43	あすか 11/19 8/11	アイス買いにいくの？
22:45	ゆうげん	お疲れ様
22:45	ゆうげん	ナギもおやすみ
22:45	ゆうげん	あいしゅ
22:46	ゆうげん	食いたい
22:46	ゆうげん	アイス食べて
22:46	ゆうげん	お風呂入ろうかな
22:47	あすか 11/19 8/11	錆びさせたことないけどな
22:47	あすか 11/19 8/11	こんな夜に出かけるのか
22:47	ゆうげん	錆びるっつうか
22:47	ゆうげん	汚れが詰まって茶色くなるのがいや
22:48	あすか 11/19 8/11	私は使いやすいし使い慣れてるしセラミックも1ぽん欲しいですね
22:48	あすか 11/19 8/11	あとはダイソーで買った小さい包丁も果物切る時とかに愛用してるからマイホームにも置く
22:49	あすか 11/19 8/11	出かけるなら気をつけて
22:49	ゆうげん	えー
22:49	ゆうげん	だいそー
23:00	あすか 11/19 8/11	使いやすいとか使い慣れてるとか大事よ
23:01	あすか 11/19 8/11	ダイソーセリア商品使わせてくれないのは拷問
23:10	ゆうげん	まあ
23:10	ゆうげん	しゃあない
23:15	あすか 11/19 8/11	？
23:15	ゆうげん	ダイソーセリア
23:15	あすか 11/19 8/11	どゆこと？
23:15	ゆうげん	お皿とか食器ではあんまり使いたくない
23:16	ゆうげん	100金
23:16	あすか 11/19 8/11	そっちかやっぱ
23:16	あすか 11/19 8/11	俺が使いたくないから使わないでと。
23:16	ゆうげん	高い方が大事に使うしな
23:17	あすか 11/19 8/11	安いから大事に使わないわけじゃない
23:17	あすか 11/19 8/11	なんで使いたいもの使っちゃだてなの…
23:17	あすか 11/19 8/11	ダメなの…
23:17	ゆうげん	セリアの〇〇っていう特定の少なのじゃないから
23:17	ゆうげん	好きなの
23:17	あすか 11/19 8/11	ん？
23:17	ゆうげん	じゃないと嫌
23:18	あすか 11/19 8/11	どゆこと？
23:18	ゆうげん	セリアのこのお皿が好きとか
23:18	ゆうげん	こだわりないならいや
23:18	あすか 11/19 8/11	セリアのなんでもいい訳じゃない
23:18	あすか 11/19 8/11	そりゃ好みはあるよ
23:18	ゆうげん	そこを拘って見せてくれたらいいよ
23:18	あすか 11/19 8/11	バリ上から…
23:19	ゆうげん	俺にとってはあすかの青とか赤のタオルと同じレベルやから
23:19	あすか 11/19 8/11	でもそれはゆーくんもそうでしょ？
23:19	ゆうげん	うん
23:20	あすか 11/19 8/11	同じ意見やから一緒ではない
23:20	あすか 11/19 8/11	"一緒に見に行ってみて
これならいいじゃんってもの
見つけれたら買おうとかさ"
23:21	あすか 11/19 8/11	もっとなんか他に言葉考えてよ
23:21	あすか 11/19 8/11	私が好んで使うものに対して
23:21	あすか 11/19 8/11	ケチつけないでー
23:22	ゆうげん	"いいお皿使ってみて
慣れてから改めて100均買ったらいい"
23:22	あすか 11/19 8/11	いいお皿はいいお皿の良さがあるし100均は100均の良さがある
23:23	ゆうげん	"100均の良さは
割れてもいい
くらいやん"
23:23	あすか 11/19 8/11	ゆーくんからしたらでしょ
23:23	ゆうげん	"誰に聞いてもそうよ
割れていい
いつでも買える
くらい"
23:24	あすか 11/19 8/11	それだけでも立派じゃん、使いたい理由として。
23:24	あすか 11/19 8/11	主婦じゃないからわかんないのな。
23:24	あすか 11/19 8/11	別にいいお皿使いたくないとか言ってないし寧ろ使って美味しそうに盛り付けたい
23:25	ゆうげん	"主婦とか関係ないて
あの家は投資やねんから"
23:25	あすか 11/19 8/11	でも普段使いのものくらい馴染みのある、気に入ってるもの使ったってよくないですか
23:25	ゆうげん	逆に無駄にお金使いたくない
23:25	あすか 11/19 8/11	"あの家は投資っていうなら
普段住めない"
23:25	ゆうげん	"生活感は極限まで排除するよ
当然やけど"
23:26	あすか 11/19 8/11	それは頑張るけど四六時中どこもかしこも生活感0は不可能
23:26	あすか 11/19 8/11	"私だって生活感丸出しの
散らかった家にしたいなんか
思ってない"
23:26	ゆうげん	"家建てる上での俺の最大の望みやから
譲れない"
23:27	ゆうげん	あすかの土地場所と同じくらい
23:27	あすか 11/19 8/11	"住むための家でもあるんやから
少しは分かっておかないと"
23:27	あすか 11/19 8/11	そこ譲れないって言われたって
23:27	あすか 11/19 8/11	住む家なんやから
23:27	あすか 11/19 8/11	時と場合によっては生活感出るのは当たり前
23:27	ゆうげん	"そこは考えてやろう
まずは努力"
23:28	あすか 11/19 8/11	"大前提に、
汚くしたくない、
極力生活感出したくない、
は私だってある"
23:28	あすか 11/19 8/11	その上で
23:28	あすか 11/19 8/11	"そう出来ない時だってあるし
そうできない時間帯だってある
こともちゃんと理解しとこうねって"
23:29	あすか 11/19 8/11	そうじゃないとその都度喧嘩
23:29	ゆうげん	"床に服もあかんし
ゴミはしまうし
オムツも出しっぱはあかんし
バスタオル床に引くのもあかんし
水周りも基本毎日洗うし
週一回はカビキラーする"
23:29	ゆうげん	家建つ上でそこは譲られへん
23:29	あすか 11/19 8/11	それは大前提として私の中にあふ
23:29	あすか 11/19 8/11	ある
23:29	あすか 11/19 8/11	どんだけ私散らかすイメージw
23:29	ゆうげん	絶対癖出るから
23:29	あすか 11/19 8/11	実家と同じにせんといて
23:30	ゆうげん	瑞江でもしとった
23:30	あすか 11/19 8/11	"環境整ってるとこで
わざわざせん"
23:31	ゆうげん	あとインテリアも基本フルでセッティングするし
23:31	あすか 11/19 8/11	何、フルセッティングって
23:31	あすか 11/19 8/11	何をセッティングするの
23:31	ゆうげん	なぎの手の届かない工夫は一緒に考えて
23:31	ゆうげん	花瓶も絵もドライフラワーも本も置く
23:31	あすか 11/19 8/11	ナギの手の届かないはもちろん考えるけどナギも賢くなったり大きくなったりはあるからね
23:32	あすか 11/19 8/11	台持ってきてもの取ったりとかね
23:32	あすか 11/19 8/11	そりゃ成長すればその都度変えなきゃだよ
23:32	あすか 11/19 8/11	触られたくないものをどーするかは
23:33	ゆうげん	成長したらそもそも触らん
23:33	あすか 11/19 8/11	子育て、子どもがいる生活を舐めたらいかんよまじで
23:33	ゆうげん	他の人ができるならうちもできる
23:33	あすか 11/19 8/11	それはさぞいい子ばかり見てきたんでしょうねって思う率直に
23:33	ゆうげん	できないできない考えるからあかんねん
23:33	あすか 11/19 8/11	他の人がいつも生活感0はありえないと思うよ
23:34	ゆうげん	どうしたらいいか工夫したらいい
23:34	あすか 11/19 8/11	いや、想像できて無さすぎやねん
23:34	あすか 11/19 8/11	さっきから言ってるけど
23:34	あすか 11/19 8/11	大前提として
23:34	ゆうげん	"いや
俺やったらできるよ"
23:34	あすか 11/19 8/11	工夫したり素敵な家を保つったいうのは私だってしたいこと
23:34	あすか 11/19 8/11	その上で注意喚起してるの
23:35	あすか 11/19 8/11	俺やったらできるってやる前から言うのおかしいし基本家おるの誰？てなる
23:35	ゆうげん	"注意よりも提案が欲しい
そんなんわかりきってるから"
23:35	あすか 11/19 8/11	分かってないからあんなことこんなこと出てくるんやん
23:35	あすか 11/19 8/11	ゆー君は私のこと考えてるようで考えてないしわかってない
23:35	あすか 11/19 8/11	実家だけがストレスな訳でもない
23:35	あすか 11/19 8/11	そんな窮屈でいつも緊張した生活はこわい
23:36	あすか 11/19 8/11	だからストレスなく自然と片付く家づくりをしたいのに
23:36	あすか 11/19 8/11	お洒落や見た目ばかりに拘られると
23:36	あすか 11/19 8/11	これから2人目とかも考えてるのに
23:36	あすか 11/19 8/11	恐怖しかない
23:36	ゆうげん	"階段も結局スケルトンやし
ライトも調光できるの選んでるし
結局俺が言ったこと実現して言ってるやん"
23:36	あすか 11/19 8/11	どゆこと？
23:37	ゆうげん	俺が言わなスケルトン階段にもならんかったし
23:37	ゆうげん	ライトもださい円形のになってたし
23:37	あすか 11/19 8/11	なんでそう決めつけるの
23:37	あすか 11/19 8/11	"スケルトンとかだって
どれだけ考えてのみこんだか"
23:37	ゆうげん	結局考えて工夫してこれでもできると試行錯誤したからできるねん
23:38	あすか 11/19 8/11	まじでさ、
23:38	あすか 11/19 8/11	これだけはわかってて。
23:38	ゆうげん	考えもせず試しもせず決め付けでやったらなんも出来へん
23:40	あすか 11/19 8/11	"大前提として、
キレイな家、素敵な家、
生活感の薄い家、
私だってそうしたい！！

ただ、
子育て生活は思うようにいかないものやしほんと舐めないで。気付かぬうちに成長して悪知恵だってつくし思いもよらぬ悪さだってする。それをした時に私を責めないで欲しいし変なプレッシャー与えないで。"
23:41	ゆうげん	責める責めないじゃなくて
23:41	ゆうげん	考えて欲しい
23:41	あすか 11/19 8/11	"その都度その都度
話し合ってお互いに
心地のいい家にしたいって
言う思いはもちろんある"
23:41	ゆうげん	問題が起きたらどうやったら防げるか考えて欲しい
23:41	ゆうげん	しゃあないで済ませたらあかん
23:42	あすか 11/19 8/11	でも不意に思いもよらぬ事が起きたりその日その時のモチベーションや体調で上手くいかないことだってある
23:42	あすか 11/19 8/11	いつも完璧は人間不可能なことやから
23:42	あすか 11/19 8/11	そこでキレられたらしんどいよってこと。
23:43	あすか 11/19 8/11	"それは当たり前。
しゃあないで済ませる気は無い。
さっきから大前提も伝えてるけど。"
23:44	ゆうげん	あすかはなんか逃げの意見ばっかで
23:44	ゆうげん	そこはばっか見ててもしゃあない
23:44	ゆうげん	万が一万が一ばっかで
23:45	ゆうげん	そんな万が一気にするより9999の良くなる方法考えてた方がいい
