1/19 8/11	今度は23日に帰ってくる？
09:13	ゆうげん	さっきの段違いも
09:13	ゆうげん	なんで高い方がいいのか理由がわからない
09:13	あすか 11/19 8/11	"服の選び方もそうよ

ゆーくんの選び方が正しいとか私の選び方が間違ってるとか

そんなんないのよ

みんな好きにしていいはずやのに

結婚したり一緒に暮らしたりするとどちらかに寄せなきゃいけなくて喧嘩になるねん

みーんな好きにしていいはずやのに"
09:13	ゆうげん	"ものは同じで
別に収納する訳でもなく"
09:13	ゆうげん	好きにする前にお金は同じところから出て有限やから
09:14	あすか 11/19 8/11	"広くて大きいものの方が何かと入れとけるし、第2子授かれた時にはそこに服とかタオルケットとか入れようとしてるから

でももういいのよ、ニトリのはさっき伝えた通りで。"
09:15	あすか 11/19 8/11	"そのお金の使い方もそんなんやって

どこにどれだけかけたいかって人それぞれやから喧嘩になるねん"
09:15	ゆうげん	"ちゃうやろ
上に座らせたいからやろ"
09:15	あすか 11/19 8/11	上に座らせようとは思ってないで最初から
09:15	ゆうげん	なら安い方でいいやん
09:17	ゆうげん	"容積6と容積4で
差額1万やで?
容積2分に1万出す?"
09:19	あすか 11/19 8/11	横に立ったり座ったりする時にあれが写ったら可愛いし、さっきも言った通り第2子授かれることあったらそこに第2子に使う服とか入れたいなって思ってるし
09:20	あすか 11/19 8/11	そういう考え方もあるんやろうけど、私は直感も未来の想像も含めて、あの形、あのデザインが好きって思ってるだけ
09:20	あすか 11/19 8/11	で、もう何回も言うけどもういいよ
09:21	ゆうげん	あと寝室の服早く出品してや
09:21	あすか 11/19 8/11	どの服のこと？クローゼットにかかってるやつ？
09:21	ゆうげん	"ちがう
寝室の隅"
09:22	ゆうげん	あと使うやつはきちんとブラッシングとアイロン
09:22	あすか 11/19 8/11	UNIQLOのやつ？
09:23	ゆうげん	そう
09:23	あすか 11/19 8/11	使う時はってなに？
09:23	ゆうげん	あの辺売るだけでもキャビネット帰る
09:23	ゆうげん	あと子供部屋にある服
09:23	あすか 11/19 8/11	なに？
09:23	ゆうげん	季節によって売れる売れないめっちゃ増えるから
09:23	ゆうげん	出すなら早く出す
09:23	ゆうげん	クローゼット
09:24	あすか 11/19 8/11	何のこと？クローゼットって
09:24	ゆうげん	こども2のクローゼットの服かけてるやん
09:24	ゆうげん	売るやつ
09:24	ゆうげん	それももう冬用売れないから
09:25	ゆうげん	春用早く売らないと
09:25	ゆうげん	シャツも今の時期から増えるから
09:25	あすか 11/19 8/11	勝手にやって値段がどうとか写真がどうとか指摘されるの嫌やから一緒にやりたい
09:25	ゆうげん	いや写真とって
09:26	あすか 11/19 8/11	勝手にやってもいいかーていうナギのいらん服はメルカリ出した
09:26	ゆうげん	"製品番号調べて説明欄コピペ
値段はほかの出品者の100円引き"
09:26	ゆうげん	自分でやって
09:26	ゆうげん	俺は俺でめちゃくちゃいるもんがある
09:27	ゆうげん	うるもんがある
09:28	ゆうげん	だいたい値段は3割引からスタート
12:54	ゆうげん	[写真]
12:54	ゆうげん	これ鏡どんなの?
12:56	ゆうげん	[写真]
12:56	ゆうげん	[写真]
12:56	ゆうげん	[写真]
12:56	ゆうげん	[写真]
12:56	ゆうげん	どんなのがいい?
13:15	ゆうげん	[写真]
13:15	ゆうげん	[写真]
13:15	ゆうげん	ナギのテーブル
13:54	あすか 11/19 8/11	鏡は別に急いでない
13:56	あすか 11/19 8/11	ナギのテーブルはお絵描きとかパズルとかしやすくて机が邪魔になる遊びをする時はサッとしまえるものって思ってるからこれは違う
13:56	あすか 11/19 8/11	[写真]
13:56	あすか 11/19 8/11	私的にはこれ
13:56	あすか 11/19 8/11	前言って却下されてるけど
16:01	ゆうげん	来月
16:02	ゆうげん	たぶんあすかに預けてる口座からお金借りると思う
16:02	ゆうげん	水道分担金とかと工事費用と
16:02	ゆうげん	今回の家具代が被って
16:02	ゆうげん	足りなくなる
16:03	ゆうげん	"今合計140万はいってて
工事で105
分担金などで26
131飛ぶから"
16:03	ゆうげん	家具代が足りない
16:05	ゆうげん	"一応カード費用が計10万
家賃が13.8
水道代光熱費をWiFiで3
26.8で満額給料が消えてる"
16:06	ゆうげん	全く貯金もなく減る一方やから
16:06	ゆうげん	足りない
16:08	ゆうげん	"今回ニトリとlowyaで15万
ナギの服で2万
やから"
16:08	ゆうげん	たぶん10万くらいたれへん
16:08	ゆうげん	メルカリからも半分は出そうと思うけど
16:09	ゆうげん	それでもたれへん
16:10	あすか 11/19 8/11	わかった、またどうしたらいいか教えて
16:10	あすか 11/19 8/11	送金？するのか現金下ろすのか
16:11	あすか 11/19 8/11	あとさ、前の東助松の土地売った時になんかの税金？に使うからって48万とってあったやつってどの税金のことなんやろ
16:11	ゆうげん	そろそろ働くこと見据えなあかん
16:11	ゆうげん	まじで減る一方
16:11	ゆうげん	しらん
16:11	ゆうげん	それ今ちゃんと持ってる?
16:11	あすか 11/19 8/11	今から働こうと思うとナギどこに預ける？てなるし第二子のタイミングもちゃんと考えなあかん
16:12	ゆうげん	松本さんの今すぐ聞いて
16:18	ゆうげん	今口座なんの残ってんの?
16:18	ゆうげん	なんぼ
16:20	あすか 11/19 8/11	"貯金口座は120万
子どもの口座は20万
税金に飛んでくって言われてて置いてるのが48万

これが今の全財産"
16:24	ゆうげん	ふむ
16:24	ゆうげん	給料いくら上がるかやな
16:24	ゆうげん	今のままやときつい
18:30	ゆうげん	リビングのテーブル
18:30	ゆうげん	どれがいい
18:50	ゆうげん	このテーブル形はどれ?
18:53	ゆうげん	俺は白円がいい
18:54	ゆうげん	サイドテーブルこれでいい?
18:54	ゆうげん	[写真]
18:57	ゆうげん	[写真]
18:57	ゆうげん	[写真]
18:57	ゆうげん	[写真]
19:24	あすか 11/19 8/11	四角い方がお絵描きとかパズルとか、これから文字覚えていく勉強とかはしやすい
19:24	ゆうげん	うーーーん
19:25	あすか 11/19 8/11	サイドテーブルはこの中やと白いのがいいなと思うけど、これくらいのあってもいいんちゃうかなとも思う、いらんときソファーの下おけたりできると尚いい
19:25	あすか 11/19 8/11	[写真]
19:25	あすか 11/19 8/11	[写真]
19:25	あすか 11/19 8/11	[写真]
19:25	あすか 11/19 8/11	[写真]
19:29		メッセージの送信を取り消しました
19:29	ゆうげん	[写真]
19:33	ゆうげん	[写真]
19:33	ゆうげん	[写真]
19:34	ゆうげん	個人的には1番下が好き
19:51	あすか 11/19 8/11	畳める方がいいんじゃないかなと思うけど
19:51	あすか 11/19 8/11	サイドテーブルにするか、畳めるのにするか
19:51	ゆうげん	たためるのはダサい
19:52	あすか 11/19 8/11	子どもおったら、いらん時はしまえるようにしといた方がいいと思う
19:52	あすか 11/19 8/11	別にこれはダサくないと思うけどね
19:53	あすか 11/19 8/11	サイドテーブルでもいいけど、下手しい今置いてるテーブルより小さくなるしなぁ
19:53	ゆうげん	最悪テーブル縦におけるし
19:53	ゆうげん	これ
19:54	あすか 11/19 8/11	どっかよけれるんやったらそれでいいんでない
19:59	ゆうげん	ただナギが
19:59	ゆうげん	走れなくなるな
19:59	ゆうげん	でも汚したくないしな
19:59	ゆうげん	床
20:25	あすか 11/19 8/11	どう対策したって汚れ0とかは難しいと思う、ナギなんて汚さん方やでまだ
20:26	あすか 11/19 8/11	いらん時立てて端によけれるんやったらこれでいいんじゃない
20:26	ゆうげん	買った
20:26	ゆうげん	明後日着くわ
20:26	ゆうげん	これはもうリビング運んでもらって
20:28	あすか 11/19 8/11	LOWYAの家具って指定の場所に運んでもらえるん？
20:28	あすか 11/19 8/11	IKEAはいつやったっけ
20:28	ゆうげん	IKEAは木曜
20:29	ゆうげん	してい無理やったら玄関で
20:37	あすか 11/19 8/11	わかった
20:50	ゆうげん	当分家具要らんな
20:51	ゆうげん	あとはナギのテーブルとニトリ
21:09	あすか 11/19 8/11	ニトリはもういいよ
21:11	ゆうげん	なんで?
21:12	ゆうげん	いいよ別に
21:12	ゆうげん	買って
21:12	ゆうげん	どうせはみ出るから
21:12	ゆうげん	貯金から出すし
21:15	ゆうげん	まじ今日中にメルカリ出て欲しい
21:17	あすか 11/19 8/11	いやもういいよ、それだけはみ出る月に買う必要もないし別に11.12に間に合わんでも全然いいし最悪なくても生きてけるし
21:18	あすか 11/19 8/11	UNIQLOのシャツ系は写真撮って準備はしてる
21:18	ゆうげん	個人的に撮影で投資先になるなら
21:18	ゆうげん	買っていいと思う
21:18	ゆうげん	その写真で月1万稼げるなら
21:18	ゆうげん	3ヶ月で元取れるから
21:21	あすか 11/19 8/11	そんな保証もないしいい
21:22	ゆうげん	まあ
21:22	ゆうげん	鞄と服で
21:22	ゆうげん	すぐそれくらい行くから
21:22	ゆうげん	さっさと売って欲しい
21:22	ゆうげん	トレンチコートと
21:22	ゆうげん	bbeautiful peopleのバッグ
21:23	あすか 11/19 8/11	[写真]
21:23	あすか 11/19 8/11	[写真]
21:23	あすか 11/19 8/11	UNIQLO以外はこのふたつしかまだ写真撮ってない
21:23	ゆうげん	高いのからいったほうがいい
21:23	ゆうげん	トレンチコートと
21:23	あすか 11/19 8/11	トレンチコートってどれ
21:23	ゆうげん	beautiful peopleのブルーのバッグ
21:24	ゆうげん	"KOEは多分1000円くらいやから
正直微妙"
21:24	あすか 11/19 8/11	どうせ売るし、とりあえずこれ売り物ってわかってるものササッと写真撮った
21:24	ゆうげん	高いものから売ろ
21:25	ゆうげん	テンション上がるから
21:26	あすか 11/19 8/11	またクローゼットみとくけどどれが高くていくら位で売れんのかとかさっぱり
21:26	ゆうげん	いや
21:26	ゆうげん	なぎ寝たら
21:26	ゆうげん	すぐとって
21:43	あすか 11/19 8/11	どこのブランド
21:43	あすか 11/19 8/11	どこにあるん
21:43	ゆうげん	UnitedTokyo
21:43	ゆうげん	ウォークインかキッズ2
21:45	あすか 11/19 8/11	[写真]
21:45	あすか 11/19 8/11	これ？
21:45	あすか 11/19 8/11	かばんわからん
21:45	ゆうげん	それ
21:45	ゆうげん	鞄絶対ある
21:45	ゆうげん	したかうえ
21:45	ゆうげん	もしくはハンガー
21:46	あすか 11/19 8/11	[写真]
21:47	あすか 11/19 8/11	これ？
21:47	ゆうげん	そふぇ
21:47	ゆうげん	れ
21:48	あすか 11/19 8/11	明日朝撮っていい？電気の明かりやと写真撮りにくい
21:49	ゆうげん	早く売りたいなら今とったらいいと思うけど
21:49	ゆうげん	出品時間は22:00がいい
21:51	あすか 11/19 8/11	自分のiPhoneの手とか周りにあるものの影が自然光の時よりはっきり写るから朝撮りたい
21:51	ゆうげん	スポットライトで斜めから光当てれるやん
21:52	あすか 11/19 8/11	もーどんなしゃしんでもいいわとるわ
21:53	あすか 11/19 8/11	ホビールームスポットライト写真撮れる側にないで
21:53	ゆうげん	リビング
21:53	あすか 11/19 8/11	なぎ寝てる時に電気あかあかと付けたくない
21:55	あすか 11/19 8/11	[写真]
21:55	あすか 11/19 8/11	[写真]
21:55	あすか 11/19 8/11	[写真]
21:55	あすか 11/19 8/11	[写真]
21:55	あすか 11/19 8/11	[写真]
21:55	あすか 11/19 8/11	[写真]
21:55	あすか 11/19 8/11	[写真]
21:55	あすか 11/19 8/11	[写真]
21:56	あすか 11/19 8/11	これでいーやもう
21:56	あすか 11/19 8/11	デカすぎてどこで撮っても撮りにくい
21:56	ゆうげん	トップ画は
21:57	ゆうげん	ZOZOかどっか流用
21:58	ゆうげん	[写真]
21:58	ゆうげん	[写真]
21:58	ゆうげん	[写真]
22:00	ゆうげん	[写真]
22:00	ゆうげん	[写真]
22:00	ゆうげん	"様々な着こなしが叶う4WAYトレンチコート 
■Fabricタスラン糸という日本で開発されたコットンライクな糸を使ったポリエステル素材。カジュアルになりすぎず、綿よりもかなり軽く、シワになりにくい。タスラン加工とは空気で糸を絡める特殊加工で、通常の糸のように撚りが入っていないため軽く仕上がります。ロング丈でも軽い着心地が特徴です。ポリエステル糸を使用しているため、“くしゅ”っとしてもしわにならないのも嬉しいポイント。 
■Design[1]トレンチコート 
秋の定番アウターといえば、トレンチコート。2018AWは特に注目のアイテムとなっています。ゆったりとしたオーバーサイズのトレンチコートはこなれ感ある、モードなシルエット。ぱふっとしたボリュームスリーブも今年らしいデザインポイント。 

[2]ショート丈ブルゾン 
身頃を外せばショート丈のブルゾンに。すっきりした丈感なのでワイドパンツやボリュームシルエットのボトムスと好相性。 

[3]ワンピース 
ショート丈トレンチを外すと中にはトレンチワンピースが。カットソーやニットに合わせてご着用して頂けます。トレンチコートのベルトでウエストシェイプするのも◎ 

[4]スカート 
ワンピースをさらに上下で外すとスカートでも着用可能。ウエストには2ヶ所にボタンが付いているため、サイズ調節も可能。ニットやスニーカー、シャツと合わせてカジュアルに着るのがおススメ。"
22:01	ゆうげん	"新品未使用
18000スタート"
22:02	あすか 11/19 8/11	上の写真全部使うん？
22:02	あすか 11/19 8/11	[写真]
22:02	あすか 11/19 8/11	[写真]
22:02	あすか 11/19 8/11	[写真]
22:02	ゆうげん	んで最後撮った写真つけたらいいと思う
22:02	あすか 11/19 8/11	これはこれでいい？
22:02	あすか 11/19 8/11	わかった
22:02	ゆうげん	バッグは16000~18000
22:03	ゆうげん	どうせ1日づつ下げていくから
22:03	ゆうげん	それふたつ売れたら
22:03	ゆうげん	それでキャビネット買える
22:04	ゆうげん	あと
22:05	ゆうげん	todayfulのデニムも出しとこ
22:06	ゆうげん	todayfulのデニムは定価で出していい
22:07	ゆうげん	あと基本値引きは1割以上は却下
22:09	ゆうげん	[写真]
22:09	ゆうげん	これ
22:10	ゆうげん	あすか着る?
22:11	ゆうげん	着ないなら1割引で出していいよ
22:13	あすか 11/19 8/11	何これどこにあんの
22:14	あすか 11/19 8/11	1割引っていくら
22:14	ゆうげん	ウォークイン
22:14	ゆうげん	"10000 1000
16000 1600
あと取り置き禁止で"
22:15	あすか 11/19 8/11	とりあえず今日撮ったやつ出品する、寝落ちせんかったらデニムともう一個のさがす
22:15	あすか 11/19 8/11	取り置き禁止って？
22:16	ゆうげん	後で買うから専用にしてください
22:16	ゆうげん	は禁止
22:16	ゆうげん	買うやつはすぐ買う
22:16	ゆうげん	買えないやつはだいたい学生やから無視
22:22	ゆうげん	説明文もテンプレ作っとけば楽
22:25	ゆうげん	説明文に値引きは可能だが1割以上は対応できませんって書いとけば弾ける
22:29	あすか 11/19 8/11	トレンチコートサイズ何
22:30	あすか 11/19 8/11	1って書いてるけど
22:30	あすか 11/19 8/11	たぐに
22:30	ゆうげん	1
22:30	あすか 11/19 8/11	メルカリに1なんてないしサイズ必須で選択せなあかんなってるくない
22:31	ゆうげん	[写真]
22:32	ゆうげん	S
22:32	ゆうげん	M
22:32	ゆうげん	かな
22:32	あすか 11/19 8/11	M?
22:32	ゆうげん	うん
22:32	あすか 11/19 8/11	ありがとう
22:32	ゆうげん	値段18000で
22:42	ゆうげん	あと1階の空気清浄の隣の靴
22:42	ゆうげん	これも出品していいし売れたらアスカのお金にしていいよ
22:43	ゆうげん	また出す暇あったら教えて

2023/03/07(火)
07:11	ゆうげん	おはよう
07:11	ゆうげん	死んだように寝てた
09:05	ゆうげん	あと本棚かった
10:58	あすか 11/19 8/11	私も寝てた
10:58	あすか 11/19 8/11	？
11:10	ゆうげん	[写真]
11:11	ゆうげん	こっちは小説系とか漫画系
11:11	ゆうげん	ラタンラックは勉強系
11:12	ゆうげん	これはラタンラックの隣か階段の中３階置こうと思う
16:45	あすか 11/19 8/11	階段とこは……
16:46	あすか 11/19 8/11	ラタンラックってどれ
16:46	ゆうげん	ホビールームに置いてるやつ
16:46	ゆうげん	"縦横38cm
高さ180cm"
18:55	あすか 11/19 8/11	これ階段とこはやめとこ
19:27	ゆうげん	おけ
19:27	ゆうげん	元々ホビールーム置く予定やったから
19:27	ゆうげん	本はね
19:27	ゆうげん	いっぱい持っときたい
19:28	ゆうげん	こどもらに読んで欲しい
21:19	あすか 11/19 8/11	強制はせんよーにねー

2023/03/08(水)
08:31	ゆうげん	おはよう
08:31	ゆうげん	また寝落ちしてた
09:24	ゆうげん	[写真]
09:24	ゆうげん	土曜お出かけ日曜BBQがいいね
11:27	ゆうげん	あとナギのために
11:27	ゆうげん	空気清浄機動かし出した方がいいね
12:02	ゆうげん	花粉対策
12:22	あすか 11/19 8/11	そこは向こうがいいようにしようかなと思ってる
12:23	ゆうげん	うむ
12:23	あすか 11/19 8/11	"ナギなんなんやろなぁ
花粉なんかな"
12:23	ゆうげん	まあ念の為ね
12:24	ゆうげん	出すともあるし
12:24	あすか 11/19 8/11	？
12:24	ゆうげん	ダスト
12:43	あすか 11/19 8/11	あぁ、ダストね
12:43	ゆうげん	そうそう
12:43	あすか 11/19 8/11	空気清浄機でかいんよ
12:43	あすか 11/19 8/11	w
12:43	ゆうげん	おもい?
12:43	あすか 11/19 8/11	縦に長いから存在感ある
12:43	ゆうげん	でもスタイリッシュやから
12:43	ゆうげん	大丈夫
12:43	あすか 11/19 8/11	そうかなぁ、あんまり好きじゃないwまぁ普通の空気清浄機よりはマシなんやろうけど
12:44	あすか 11/19 8/11	存在感…
12:44	ゆうげん	とりあえずテレビ横か
12:44	ゆうげん	キッチン反対においたら
12:44	ゆうげん	いいと思う
12:44	あすか 11/19 8/11	加湿器と並べとくん？
12:50	ゆうげん	でもいいし
12:50	ゆうげん	かしつきどけても
12:52	ゆうげん	なんか毎週テレワーク1日行けそう
12:52	ゆうげん	ゆっくり帰れる
16:53	あすか 11/19 8/11	そーなん？？
16:54	あすか 11/19 8/11	そういえば月曜日に聞いたけど室外機13日以降しか無理やったから13日にした
16:55	あすか 11/19 8/11	11.12間に合わんかった
16:55	ゆうげん	まあしゃあない
16:56	あすか 11/19 8/11	どんな車なんやろ？まぁ何とか停めれるか
16:56	あすか 11/19 8/11	[写真]
16:56	あすか 11/19 8/11	やっと片付いた
16:57	ゆうげん	お疲れ様
17:49	ゆうげん	誰やこの犬
19:47	あすか 11/19 8/11	犬？奥の？
19:48	ゆうげん	うん
19:48	あすか 11/19 8/11	スリコのワンコ
19:48	あすか 11/19 8/11	前からあったよ
21:09	ゆうげん	あーあいつね
21:33	ゆうげん	鬼のように
21:33	ゆうげん	荷物届いてそう
21:39	ゆうげん	金曜日は鬼準備
21:44	ゆうげん	ロッカーは明日か

2023/03/09(木)
00:11	ゆうげん	[写真]
00:11	ゆうげん	やべぇ
00:11	ゆうげん	飲んでみたい
00:11	ゆうげん	コーラ
00:11	ゆうげん	でもフロートか
00:11	ゆうげん	まずそう
07:09	あすか 11/19 8/11	IKEAは今日？
07:09	あすか 11/19 8/11	コーラフラペチーノw
07:09	あすか 11/19 8/11	1回は飲んでみたいな、気になる
08:15	ゆうげん	おはよう
08:16	ゆうげん	なんか
08:16	ゆうげん	花粉症ではないけど
08:16	ゆうげん	めっちゃ喉痛い
08:16	ゆうげん	感想と花粉が
08:16	ゆうげん	鼻をつぶす
08:35	あすか 11/19 8/11	乾燥とか花粉とかなのかちゃんと見極めないと
08:35	あすか 11/19 8/11	土日はひーちゃんらに会うから
08:35	あすか 11/19 8/11	気をつけてね
08:52	ゆうげん	うむ
08:52	ゆうげん	ハーベストもいいけど
08:52	ゆうげん	大阪城公園も行きたいな
12:10	ゆうげん	今家にいる?
12:13	あすか 11/19 8/11	おる
12:15	ゆうげん	イケア近くにおるらしい
12:16	あすか 11/19 8/11	もう来る？
12:16	ゆうげん	たぶん
12:16	あすか 11/19 8/11	きた
12:23	ゆうげん	ありがとう
15:47	ゆうげん	ロッカー
15:47	ゆうげん	屋上行けた?
17:59	ゆうげん	東京ちょっと
17:59	ゆうげん	さくらある
18:19	あすか 11/19 8/11	屋上出るとこ今もの多いからとりあえず近くまでは持ってきてもらってる
18:19	ゆうげん	屋上に出してもらえれば
18:19	ゆうげん	良かったが
18:20	あすか 11/19 8/11	段ボールやし
18:20	あすか 11/19 8/11	そのまま出しとくのどーなんやろ思って
18:20	あすか 11/19 8/11	どれもおじさん一人で運んでたしいけるよ
18:23	ゆうげん	ふむ
18:23	ゆうげん	おっけい
19:04	ゆうげん	土日なかなか出来へんから
19:04	ゆうげん	明日ちゃんとしたい
19:19	あすか 11/19 8/11	ちゃんとする？
19:20	ゆうげん	えち
19:37	ゆうげん	あすかギューし足りない
22:01	あすか 11/19 8/11	私は話し足りない
22:01	あすか 11/19 8/11	w
22:04	ゆうげん	はなそ
22:04	ゆうげん	明日はお酒飲まんわ

2023/03/10(金)
00:09	ゆうげん	お隣の男の子香水臭い
00:10	ゆうげん	あしたバスいつものとちゃうから
00:10	ゆうげん	10:00くらいに着くわ
00:18	あすか 11/19 8/11	おけ！
08:27	ゆうげん	おはよう
08:27	ゆうげん	もうちょいで難波
08:33	ゆうげん	6:00くらいから
08:33	ゆうげん	おめめパッチリ
08:33	ゆうげん	周りはまだ寝てるわ
08:33	ゆうげん	学生め
09:04	ゆうげん	しかもイヤホンどっか言ったとかでp
09:04	ゆうげん	到着遅れてる
09:09	あすか 11/19 8/11	イヤホン？
09:09	ゆうげん	PODSちゃう?
09:14	あすか 11/19 8/11	何それ？？
09:14	ゆうげん	airpods
09:14	あすか 11/19 8/11	あー、あったん？？
09:23	ゆうげん	あったんちゃうか
09:23	ゆうげん	今南海のった
09:50	ゆうげん	今羽衣
09:50	ゆうげん	もうつくよ
09:50	ゆうげん	コーヒー入れてくれてたら
09:50	ゆうげん	死ぬほど喜ぶ

2023/03/12(日)
11:00	あすか 11/19 8/11	☎ 通話時間 2:11
11:07	あすか 11/19 8/11	☎ 通話時間 3:11
20:13	ゆうげん	beautiful peopleの巾着バッグ
20:13	ゆうげん	どこいったんやろ
20:13	ゆうげん	あれ探して欲しい
20:30	ゆうげん	来週
20:30	ゆうげん	どうする?
20:31	ゆうげん	あと屋上に椅子とBBQ器具出しっぱ(ロッカー入らんから)
20:31	ゆうげん	やから
20:32	ゆうげん	屋内に閉まってもらうと助かる
21:00	あすか 11/19 8/11	来週は様子見やなぁ
21:00	あすか 11/19 8/11	どこに直しとくん？
21:01	ゆうげん	とりあえずは中2書
21:01	ゆうげん	階
21:01	ゆうげん	今晩雨降るっぽいのよな
21:01	ゆうげん	ハンモックも
21:01	ゆうげん	カバーつけといて欲しい
21:01	ゆうげん	"BBQのは足外せる
足はロッカー入れといて"
21:03	あすか 11/19 8/11	ハンモックカバーって何？
21:03	ゆうげん	ロッカーに入ってる
21:04	ゆうげん	黒いカバー
21:04	ゆうげん	左の上の方
21:32	ゆうげん	ごめんね
21:32	ゆうげん	色々残しちゃってて
21:48	あすか 11/19 8/11	うん、いけたー
21:48	ゆうげん	ありがとう
21:49	ゆうげん	あとはゴミだけまとめて
21:49	ゆうげん	ゆっくりしてね
21:49	ゆうげん	明日は確定申告の件だけおねがい
21:49	あすか 11/19 8/11	明日ゴミ出す日やから明日中には分別してまとめる
21:51	あすか 11/19 8/11	"テレビ台の敷物
テーブルランナーってやつが
よさげ"
21:52	あすか 11/19 8/11	[写真]
21:52	あすか 11/19 8/11	[写真]
21:52	あすか 11/19 8/11	[写真]
21:52	あすか 11/19 8/11	[写真]
21:52	あすか 11/19 8/11	[写真]
21:52	あすか 11/19 8/11	[写真]
21:52	ゆうげん	安いね
21:52	ゆうげん	アイボリーね
21:52	ゆうげん	最悪テーブルでも使えるな
21:53	あすか 11/19 8/11	[写真]
21:53	あすか 11/19 8/11	テレビ台はこんな感じ
21:54	ゆうげん	テーブルは?
22:24	ゆうげん	あ
22:24	ゆうげん	あと
22:25	ゆうげん	子供部屋2の
22:25	ゆうげん	トートバッグ
22:25	ゆうげん	8400から出品して欲しい
22:25	ゆうげん	値引き禁止で

2023/03/13(月)
05:57	ゆうげん	おはよう
06:34	ゆうげん	無事東京よ
08:51	あすか 11/19 8/11	？
08:52	ゆうげん	テーブルの長さなんぼやっけ
08:52	あすか 11/19 8/11	値引き禁止っていうのは、向こうからの値引き交渉こたえるのなしってこと？
08:55	ゆうげん	そうそう
08:56	ゆうげん	値引き対応めんどくせーから
08:56	あすか 11/19 8/11	どゆこと？
08:56	ゆうげん	人気あるから
08:56	あすか 11/19 8/11	あーそーなん
08:56	ゆうげん	そう
08:57	あすか 11/19 8/11	机メジャーの長さ足らんから分からん、
08:57	ゆうげん	たぶん170かな
08:57	あすか 11/19 8/11	160超えで170くらいたぶん
08:57	ゆうげん	買った時そんくらいやった気がする
10:27	あすか 11/19 8/11	順番にやりたいことやるのはいいと思うけど、父に90万返すこともしっかり考えていこね
10:27	ゆうげん	うむ
10:27	ゆうげん	もちろん
14:14	あすか 11/19 8/11	今いける？
14:14	あすか 11/19 8/11	エアコンの室外機なんやけど
14:14	ゆうげん	ん?
14:15	ゆうげん	あと10分
14:15	ゆうげん	で会議
14:15	あすか 11/19 8/11	ブロック用意するの忘れてて、今のまま置いたら半分ほど後ろの塀で隠れるかもってのと
14:15	あすか 11/19 8/11	駐車場のとこは
14:15	あすか 11/19 8/11	33000円かかるみたいやけど
14:15	ゆうげん	それはブロック買わないと
14:15	あすか 11/19 8/11	してもらう？
14:15	ゆうげん	なんでそんなかかんねん
14:15	ゆうげん	ずらすだけやろ
14:15	あすか 11/19 8/11	今ナギ寝てて動けん
14:16	ゆうげん	費用の内訳出させて
14:16	ゆうげん	何にそんなかかってるのか
14:16	あすか 11/19 8/11	いやなんか、線もパイプカバーも丸ごと変えなあかんって
14:16	あすか 11/19 8/11	継ぎ足すとかじゃなくて丸ごと変えなあかんねんて
14:16	ゆうげん	"そんなん出されへん
はいはいとは言われへん
やっぱり最初っからやっておくべきやった"
14:17	ゆうげん	家具1個分無駄になってるやん
14:17	ゆうげん	明細出させて
14:17	ゆうげん	そんなにかかるわけない
14:17	あすか 11/19 8/11	そんなん言われてももう終わったことは仕方ないし、、
14:17	ゆうげん	相見積とる
14:18	ゆうげん	ほかと比較しますって言っといて
14:18	ゆうげん	値段
14:18	ゆうげん	そんなふざけたお金出せない
14:18	ゆうげん	あと後ろのやつも費用かかるの?
14:19	ゆうげん	もう一個の室外機
14:19	ゆうげん	あれはもう払ってるの?
14:20	あすか 11/19 8/11	後ろのは、別日に取り付けに来るとなると本当は出張費がいるんやったけど
14:20	ゆうげん	何でもかんでもはいはい言うんじゃなくて
14:20	ゆうげん	少しは考えて
14:20	あすか 11/19 8/11	それはなしでつけるって前ゆってくれてる
14:20	あすか 11/19 8/11	ハイハイゆってないで？
14:21	あすか 11/19 8/11	夫に確認してみるって言った
14:21	ゆうげん	いや
14:21	ゆうげん	自分でも色々調べて
14:22	ゆうげん	そんな値段ぽんと出せないのくらいわかるやろ
14:22	あすか 11/19 8/11	なぁ
14:22	あすか 11/19 8/11	なんで怒ってるん
14:22	あすか 11/19 8/11	出てないで？
14:22	あすか 11/19 8/11	この値段やとわからんから夫に確認するって一旦確認とったんやん
14:22	ゆうげん	そうじゃなくて
14:22	あすか 11/19 8/11	明細書貰うことなった
14:23	ゆうげん	結局俺が調べなあかんやん
14:23	あすか 11/19 8/11	いや
14:23	あすか 11/19 8/11	調べるよ、どこでやるのが安いか
14:23	ゆうげん	調べてよ
14:23	あすか 11/19 8/11	うん、調べるよ
14:24	ゆうげん	それと
14:24	ゆうげん	当時あの長さにしていいと判断したのは誰なん
14:25	ゆうげん	俺は確認も貰ってないし
14:25	ゆうげん	あっちが勝手に判断したん?
14:25	ゆうげん	こっちに確認してきた?
14:25	ゆうげん	それもなしにやってるなら
14:25	ゆうげん	費用は持ってもらうよ
14:25	ゆうげん	向こうに
14:25	ゆうげん	こっちはなんの承認もしてないんやから
14:25	ゆうげん	こっちが承認したという物証も掲示させて
14:26	ゆうげん	"俺は当時なんも言われてないし
普通の感覚してたら車の邪魔になることもわかる"
14:27	ゆうげん	向こうがわからん言うなら俺に担当者の電話番号教えて
14:28	あすか 11/19 8/11	あの当時はバタバタしてて、なんでか私があの壁の真裏って思ってそう言った
14:28	あすか 11/19 8/11	[写真]
