 11/19 8/11	イクタは無垢っぽい？質感なのかな
23:08	あすか 11/19 8/11	[写真]
23:14	ゆうげん	[写真]
23:17	ゆうげん	[写真]
23:17	ゆうげん	[写真]
23:17	ゆうげん	[写真]
23:17	ゆうげん	[写真]
23:17	ゆうげん	[写真]
23:17	ゆうげん	[写真]
23:18	ゆうげん	[写真]
23:18	ゆうげん	[写真]
23:18	ゆうげん	[写真]
23:22	あすか 11/19 8/11	[写真]
23:22	あすか 11/19 8/11	[写真]

2022/05/31(火)
00:01	あすか 11/19 8/11	☎ 通話時間 1:19:59
09:25	ゆうげん	ママおはよう
09:25	ゆうげん	今日は一緒に
09:25	ゆうげん	動画見ようよ
09:47	あすか 11/19 8/11	おはよう
09:48	あすか 11/19 8/11	動画？
09:53	ゆうげん	あべま
09:53	ゆうげん	1本面白いの見せて
09:53	ゆうげん	画面共有できたっけ
09:53	ゆうげん	"あと夏服明日届くよ
カバンも入れてるからぜひ使ってね"
09:53	ゆうげん	普段使い用やから全部
11:46	あすか 11/19 8/11	共有できるのかな？やったことない
11:46	あすか 11/19 8/11	ありがとう！
11:58	ゆうげん	zoomでやるか
12:24	ゆうげん	[写真]
12:24	ゆうげん	直角階段
12:24	ゆうげん	[写真]
12:24	ゆうげん	板だけ階段
12:24	ゆうげん	[写真]
12:24	ゆうげん	真ん中階段
12:24	ゆうげん	[写真]
12:24	ゆうげん	両サイド階段
12:24	ゆうげん	[写真]
12:25	ゆうげん	板浮き階段
12:25	ゆうげん	どれがいい?
12:25	ゆうげん	Webカタログでだいたい種類見た
14:22	あすか 11/19 8/11	ゆーくんどれ好みなの？
14:22	あすか 11/19 8/11	あ、グループで言ってた
14:23	ゆうげん	グループで見てちょ
14:24	ゆうげん	価格はなんか板1枚とかの値段で総額の感じが掴めない
16:52	あすか 11/19 8/11	とりあえず今昨日までに話し合ったことのまとめとイメージ図送ったよ
17:18	ゆうげん	ありがとう
17:18	ゆうげん	わかりやすい
18:02	あすか 11/19 8/11	ほんとー？よかったです
18:54	ゆうげん	今から帰るよー
19:17	あすか 11/19 8/11	お疲れ様
19:17	ゆうげん	ママもお疲れ様
19:18	あすか 11/19 8/11	今晩ご飯中
19:23	ゆうげん	何食べてるの?
19:24	あすか 11/19 8/11	"今日はカレイの煮付けを
みそ風味にしてみたけど
やっぱり煮付けは食べない"
19:24	あすか 11/19 8/11	"ブロッコリーとしめじを
バターと醤油で炒めたのも
味嫌みたい"
19:24	ゆうげん	煮付けうまいのになぁ
19:25	あすか 11/19 8/11	ね、煮付け美味しいのに〜
19:28	ゆうげん	味噌があかん?
19:28	ゆうげん	炒めがあかんのか
19:29	あすか 11/19 8/11	醤油とか使ういつもの煮付けも食べへんからなぁ
19:29	あすか 11/19 8/11	[動画]
19:29	あすか 11/19 8/11	何とか数口食べさせてる
19:30	ゆうげん	食ってる振りがすごい
19:32	あすか 11/19 8/11	[写真]
19:32	あすか 11/19 8/11	減ってきた
19:37	あすか 11/19 8/11	[写真]
19:37	あすか 11/19 8/11	やったーーーー
19:37	あすか 11/19 8/11	魚完食
19:37	あすか 11/19 8/11	ブロッコリーとしめじも1個ずつは食べたからご褒美
19:38	あすか 11/19 8/11	[写真]
19:39	ゆうげん	お
19:39	ゆうげん	いいね
19:53	あすか 11/19 8/11	カレイの煮付け食べてくれたのはじめて
19:53	あすか 11/19 8/11	何言ってもべーーて出してきてたのに
19:59	ゆうげん	あすかの褒め上手もあるな
20:00	ゆうげん	なぎもノリノリ
21:07	あすか 11/19 8/11	かしこ〜しか言ってないよ私
21:07	あすか 11/19 8/11	(笑)
21:08	ゆうげん	声かわいいからな
22:15	あすか 11/19 8/11	ナギちゃん寝ました
22:22	ゆうげん	お疲れ様やで
23:16	ゆうげん	https://konoike.zoom.us/j/85994646334?pwd=dFVvaFBVd1pLR0VBYkY5VEFQcVVjdz09
23:18	ゆうげん	"ミーティングID: 824 0422 3061
パスコード: 137629"
23:20	あすか 11/19 8/11	[写真]
23:21	ゆうげん	☎ 通話時間 59:04
23:32		あすか 11/19 8/11がメッセージの送信を取り消しました
23:32		あすか 11/19 8/11がメッセージの送信を取り消しました
23:35	あすか 11/19 8/11	きこえてる？トイレ行ってくるよ

2022/06/01(水)
00:27	ゆうげん	☎ 通話時間 53:15
08:11	ゆうげん	おはよう
09:52	あすか 11/19 8/11	おはよう
10:12	あすか 11/19 8/11	荷物届いたよ、ありがとう
10:12	あすか 11/19 8/11	これ全部普段使いの？？
10:12	ゆうげん	全部よ
10:57	あすか 11/19 8/11	ありがとう
10:58	あすか 11/19 8/11	"一応予定では明日、
ここで使わないものレンタルスペースに運ぶよ"
11:00	ゆうげん	"おけ
重いから気をつけてね"
11:01	ゆうげん	"出来たら自転車使わず荷台とか手運び、車で

ガムテープで補強お願いね"
12:23	あすか 11/19 8/11	うん、ありがと
12:23	あすか 11/19 8/11	父に車で家の前まで来てもらう予定よ
12:26	ゆうげん	母いない時か
12:26	あすか 11/19 8/11	そうよー
16:02	ゆうげん	何更新した??
16:02	ゆうげん	ノート
16:03	あすか 11/19 8/11	なんか更新したかな？
16:03	あすか 11/19 8/11	今日は何も触ってないよ
16:03	ゆうげん	"あれ
更新みたいな通知ちらっと見えたから"
16:03	ゆうげん	なら大丈夫
16:04	ゆうげん	昨日寝てる時思いっきり顔机に当てたっぽく
16:04	ゆうげん	唇3cmくらい切れた
16:04	あすか 11/19 8/11	え、どゆこと
16:04	ゆうげん	寝返りかなんかで顔うってた
16:05	あすか 11/19 8/11	ちゃんと安全なとこで寝なよ…
16:05	ゆうげん	枕に血が
16:05	あすか 11/19 8/11	パパ動く時勢いやばいからね
16:05	あすか 11/19 8/11	ちゃんと安全なとこで寝てね
16:05	あすか 11/19 8/11	大丈夫？
16:25	ゆうげん	口内炎できそう
16:27	あすか 11/19 8/11	口の中？
16:59	ゆうげん	下唇のど真ん中うら
17:22	あすか 11/19 8/11	あらま、、
17:22	あすか 11/19 8/11	気をつけるんよ〜
18:57	ゆうげん	チョコラBB盛りまくるわ
19:04	ゆうげん	帰るね
19:04	ゆうげん	今日もお話しよ
19:04	ゆうげん	[スタンプ]
19:04	あすか 11/19 8/11	怪我はチョコラBB効くのか？？
19:04	あすか 11/19 8/11	お疲れ様です
19:04	ゆうげん	口内炎はビタミンでカバーできるんよね
19:05	あすか 11/19 8/11	[スタンプ]
19:05	あすか 11/19 8/11	怪我からの口内炎も？
19:07	ゆうげん	いえす
19:07	ゆうげん	電話しょ
19:08	あすか 11/19 8/11	そうなのか
19:08	あすか 11/19 8/11	いえーい
19:14	ゆうげん	どこまで見たの??
19:20	あすか 11/19 8/11	昨日今日で全部見ちゃった
19:20	あすか 11/19 8/11	けど
19:20	ゆうげん	あれーま
19:20	あすか 11/19 8/11	もう1回全然見れるから一緒にみたい
19:22	あすか 11/19 8/11	てかむしろもう1回みたいから一緒に昨日の続きからみよーー
19:22	あすか 11/19 8/11	今iPhone触ってたら
19:22	あすか 11/19 8/11	"あーちゃん  ピース とってー

ってナギに言われた(笑)"
19:23	あすか 11/19 8/11	[写真]
19:23	あすか 11/19 8/11	[写真]
19:23	ゆうげん	あーちゃんはまま?
19:23	あすか 11/19 8/11	あーちゃんは自分のこと
19:23	ゆうげん	可愛い
19:23	あすか 11/19 8/11	いつの間にか2~3語文喋れるようになったね
19:24	ゆうげん	早いよね
19:30	あすか 11/19 8/11	どうぞって言ったら
19:30	あすか 11/19 8/11	ありがとうは？とか言わんでも
19:30	あすか 11/19 8/11	ありがとうって言う
19:30	あすか 11/19 8/11	でも
19:30	あすか 11/19 8/11	いいえーって言ったら
19:31	あすか 11/19 8/11	ナギもいいえーて言ってた(笑)
19:31	あすか 11/19 8/11	分かってきてることと、まだまだオウム返しなとこと、、おもしろい
19:31	ゆうげん	そこはまだ難しいね
19:31	あすか 11/19 8/11	でも、日々成長やねー
19:49	ゆうげん	それだけで
19:49	ゆうげん	しあわせやね
20:56	あすか 11/19 8/11	毎日何かとおわれてて気付かんけど、ふとした時に成長したなぁてなる
21:03	ゆうげん	いいこっちゃ
21:57	あすか 11/19 8/11	なぎ寝ました
21:58	ゆうげん	お疲れ様
22:02	あすか 11/19 8/11	お疲れ様
22:04	ゆうげん	☎ 通話時間 1:32

2022/06/02(木)
01:13	ゆうげん	☎ 通話時間 3:08:54
09:01	ゆうげん	おはようあすか
09:01	ゆうげん	6/24、7/7ボーナスやって
09:01	ゆうげん	とりあえず全額送るね
10:36	ゆうげん	[写真]
10:36	ゆうげん	なんか手当上がってる気がする
10:37	ゆうげん	"家族手当と別居手当で46000もあるか

ここに持ち家手当で74000か
すげぇな"
14:15	あすか 11/19 8/11	朝から荷物運んできたよ
14:15	あすか 11/19 8/11	今月からボーナスはいるのね
14:16	あすか 11/19 8/11	了解です、ありがとう
14:16	あすか 11/19 8/11	"手当てやばいね！
こりゃ異動させたくなるやつw"
14:19	ゆうげん	お疲れ様やで
14:19	ゆうげん	空きスペースまだありそう??
14:19	ゆうげん	また中の写真欲しいな
14:20	あすか 11/19 8/11	亮介の部屋も外も暑すぎて顔真っ赤になったわw
14:20	あすか 11/19 8/11	途中から亮介も手伝ってくれた
14:20	ゆうげん	水分しっかりとりや
14:20	ゆうげん	税金分相殺できるくらいに貰ってるね
14:20	あすか 11/19 8/11	[写真]
14:20	あすか 11/19 8/11	[写真]
14:20	あすか 11/19 8/11	[写真]
14:20	あすか 11/19 8/11	[写真]
14:20	あすか 11/19 8/11	[写真]
14:20	あすか 11/19 8/11	[動画]
14:21	あすか 11/19 8/11	意外とはいる！まだまだはいる
14:21	ゆうげん	まだまだ余裕やな
14:21	ゆうげん	先に家電系とあすかの服送ろうかな
14:22	あすか 11/19 8/11	うん、まだ入る
14:22	あすか 11/19 8/11	うん、いけると思うよ
14:23	ゆうげん	まあ送るのにまた結構お金かかりそうやけどな
14:23	あすか 11/19 8/11	それな、、
14:23	あすか 11/19 8/11	どのみちかかるよね、引越しの時
14:25	ゆうげん	どの道かかるなら
14:25	ゆうげん	先送った方がいいかもね
14:26	ゆうげん	俺の家のスペースも空くし
14:26	ゆうげん	直接そのスペースに送れないかな
14:26	あすか 11/19 8/11	直接あのスペースには送られへんね
14:27	あすか 11/19 8/11	"一旦うちじゃないと
父の事務所も置く場所ないやろし"
14:27	あすか 11/19 8/11	また荷物運ぶ時は連絡してくれたらいいからねって父も言ってくれてるから
14:27	あすか 11/19 8/11	また実家から運んでレンタルスペース置きに行く感じかな
14:28	ゆうげん	でもすごい量やから
14:28	ゆうげん	"１回家に送ってとか無理やと思う
家電くそ重いし"
14:28	あすか 11/19 8/11	んー
14:28	あすか 11/19 8/11	量どれくらい？
14:28	あすか 11/19 8/11	アレやったらもう父の事務所宛にしてそのまま車積んで貰うとかがいいかな
14:29	あすか 11/19 8/11	"あんまり多すぎてもスペースに入らんで溢れるやろし、、
量どんな感じやろ"
14:29	ゆうげん	電子レンジ、トースター、炊飯器、加湿器、空気清浄機、掃除機、ポッド
14:30	ゆうげん	とりあえず家電でこんだけ
14:30	ゆうげん	見た感じ入るのは入るよ
14:30	あすか 11/19 8/11	"家電と、あと私の服？はあと
どれくらいある？"
14:31	あすか 11/19 8/11	写真と実際は違うからなぁ
14:31	あすか 11/19 8/11	まだ余裕はあるけどあまりに多かったら危ういよね
14:32	ゆうげん	ダンボールは7つくらい
14:32	ゆうげん	"あとは食器類かな
新居で使いたいの"
14:33	ゆうげん	"あー
henderschemeの時計とかインテリアもあるわ"
14:33	ゆうげん	ありすぎてわけわかめ
14:36	あすか 11/19 8/11	とりあえずこれくらいっていうボリューム感なんとなくでも写真でもらってい？
14:36	あすか 11/19 8/11	今日帰ったら
14:36	ゆうげん	あい
14:36	あすか 11/19 8/11	無理はせんでね〜
17:26	ゆうげん	今日ははよ帰ろ
18:09	ゆうげん	かえりますー
18:18	あすか 11/19 8/11	あら、ほんとに早いね
18:18	あすか 11/19 8/11	お疲れ様です
18:18	ゆうげん	あすかもお疲れ様
18:19	あすか 11/19 8/11	まだ体が熱い感じ残ってる
18:19	ゆうげん	そろそろ手料理食べたい
18:19	あすか 11/19 8/11	今日ほんま暑すぎた
18:19	ゆうげん	大丈夫?
18:19	あすか 11/19 8/11	途中も水飲みまくったし大丈夫！
18:19	あすか 11/19 8/11	何食べたい？
18:19	あすか 11/19 8/11	[写真]
18:19	あすか 11/19 8/11	[写真]
18:19	あすか 11/19 8/11	[写真]
18:20	あすか 11/19 8/11	あーりんちでやっと完成した(笑)
18:20	ゆうげん	ガパオライス
18:20	ゆうげん	バッグ?
18:21	あすか 11/19 8/11	日本食かと思たら(笑)
18:21	あすか 11/19 8/11	うん、紐つけてバックにしよかなー
18:21	あすか 11/19 8/11	本当は顔つけようと思ってんけど、この糸麦わら帽子とかに使うみたいな夏用？のやつなんよ
18:21	あすか 11/19 8/11	めっちゃ編みにくいし硬いし
18:22	あすか 11/19 8/11	やっぱ年中使えそうなコットンの糸で編もうかなと思ってもう顔付けんとおわった
18:22	ゆうげん	難そう
18:25	ゆうげん	日本食やったらナギに悪いが
18:25	ゆうげん	煮付け食いたい
18:30	あすか 11/19 8/11	魚の煮付け美味しいよね
18:30	あすか 11/19 8/11	カレイの煮付けはあの日に克服してくれてることを祈る
18:31	あすか 11/19 8/11	一応前完食してくれたし
18:33	ゆうげん	1日ではきついんちゃうかな
18:35	ゆうげん	麦わら帽子使えそう?
18:37	あすか 11/19 8/11	少しでも慣れてくれてたらいいなー。絶対嫌なものは口から出してくるから、完食したってことは食べれる味なはず
18:37	あすか 11/19 8/11	見たけどまだあけてみてない
18:38	あすか 11/19 8/11	[写真]
18:38	あすか 11/19 8/11	[写真]
18:38	あすか 11/19 8/11	こういう格好似合う人になってみたい(笑)
18:38	あすか 11/19 8/11	"こんな格好似合う人
麦わら帽子似合うよな"
18:39	ゆうげん	多分似たような服あるダンボールの中に
19:22	あすか 11/19 8/11	そなのね
19:42	あすか 11/19 8/11	お家ついてる？
19:42	あすか 11/19 8/11	今日も、
19:43	あすか 11/19 8/11	"ピーシュ、やってー
(ピース撮って(写真撮って))
って言われて撮ったら"
19:43	あすか 11/19 8/11	[写真]
19:44	ゆうげん	着いてるよー
19:44	ゆうげん	事故ってる
19:44	あすか 11/19 8/11	ちょっとだけビデオ通話してい？
19:44	あすか 11/19 8/11	そう、事故ってる(笑)
19:44	ゆうげん	いいよ
19:45	あすか 11/19 8/11	☎ 通話時間 0:17
20:30	あすか 11/19 8/11	☎ 通話時間 44:34
20:36	あすか 11/19 8/11	☎ 通話時間 6:30
20:36	あすか 11/19 8/11	[写真]
20:36	あすか 11/19 8/11	[写真]
20:36	あすか 11/19 8/11	[写真]
20:37	ゆうげん	かわい
20:37	あすか 11/19 8/11	電話中に撮ったナギとパパ
20:37	ゆうげん	ぱぱよ
20:37	あすか 11/19 8/11	パパのこの角度で写る感じがおもしろすぎてスクショ
20:38	あすか 11/19 8/11	背景オシャレやから余計おもろい
20:38	ゆうげん	なんか縦に伸びてるもんな
21:38	あすか 11/19 8/11	うん(笑)
21:39	あすか 11/19 8/11	でもさ、パーマあたってるの似合ってたよ
21:47	ゆうげん	もっとかっこよくなりたいね
21:53	ゆうげん	チョコくいた
22:21	あすか 11/19 8/11	私も可愛く美人になりてぇ
22:21	あすか 11/19 8/11	チョコいーね
22:22	ゆうげん	チョコクランチ食いたい
22:23	ゆうげん	じゅうぶんじゅうぶん
22:23	ゆうげん	来週全出社
22:36	あすか 11/19 8/11	おいしいやつ、チョコクランチ
22:36	あすか 11/19 8/11	いや、全然よ
22:37	ゆうげん	買いに行こうかな
22:37	あすか 11/19 8/11	えー、マジか
22:37	ゆうげん	ちよこ
22:37	ゆうげん	くいたい
22:37	あすか 11/19 8/11	来週だけ？もうずっと？
22:37	あすか 11/19 8/11	買いに行くなら電話繋げて
22:37	ゆうげん	来週だけ
22:39	あすか 11/19 8/11	来週なんかあるの？
22:39	ゆうげん	来週中に作らなあかんシステムがある
22:39	ゆうげん	チーム全員で出社
22:50	あすか 11/19 8/11	なるほど。。
22:55	ゆうげん	しんどいなぁ
22:55	ゆうげん	うつになる
22:56	あすか 11/19 8/11	来年こそは大阪異動ならんかな〜
22:57	あすか 11/19 8/11	お互いに「お疲れ様〜」てできるし、ご飯もしっかり食べれるし、一緒に寝れるし
22:58	ゆうげん	今ではそれが夢やなぁ
22:59	あすか 11/19 8/11	単身赴任もデメリットばかりではないけど。。
23:00	あすか 11/19 8/11	一緒の方がいいことが多いよね
23:00	ゆうげん	毎月34000貰えるしね
23:01	あすか 11/19 8/11	別居手当て？
23:01	ゆうげん	そそ
23:01	あすか 11/19 8/11	そだね
23:01	ゆうげん	まあでも諸々考えたら
23:02	あすか 11/19 8/11	"その手当もそうやし、
やっぱ離れてるからこそ
一緒におる時間は充実するし
一緒にご飯食べたり寝たり
お風呂入ったりすることも
特別に感じて大事にできるもんな"
23:02	ゆうげん	マイナスに近いからな
23:02	ゆうげん	そだね
23:02	ゆうげん	なかなか味わえることじゃない
23:02	あすか 11/19 8/11	一緒に暮らしてると、どうしても食事も寝るのもお風呂も作業というか…慣れて当たり前のことになるからね
23:03	あすか 11/19 8/11	"だから単身赴任で離れてるのも、
デメリットばっかりでは無いけど…けど…やね"
23:03	あすか 11/19 8/11	私は特に、心配性やから
23:04	ゆうげん	そうね
23:04	ゆうげん	俺も単身赴任あきた
23:04	あすか 11/19 8/11	飽きた(笑)なんやそれ
23:06	あすか 11/19 8/11	あ
23:06	あすか 11/19 8/11	そういえば
23:07	ゆうげん	ん?
23:07	あすか 11/19 8/11	ファンデーションとか化粧水、乳液、などなど重なって無くなりかけてるの。。
23:07	ゆうげん	[スタンプ]
23:08	ゆうげん	ファンデーションどれやっけ
23:08	あすか 11/19 8/11	[写真]
23:08	あすか 11/19 8/11	[写真]
23:08	あすか 11/19 8/11	[写真]
23:08	あすか 11/19 8/11	ファンデーションこれ使ってみよっかなーておもってる
23:08	あすか 11/19 8/11	あと無印良品クリア化粧水とクリア乳液がもうなくなる
23:09	あすか 11/19 8/11	導入液はゆーくん前大きいの送ってくれてるからまだ全然大丈夫
23:09	あすか 11/19 8/11	あ、無印良品のクレンジングもだ
23:09	あすか 11/19 8/11	あと、なぎトイレトレーニング始めようかなーて思ってて
23:09	あすか 11/19 8/11	なんかいいの無いかな
23:10	ゆうげん	リキッドファンデの色は??
23:10	ゆうげん	クレンジングもないの?
23:10	ゆうげん	トイレか
23:10	あすか 11/19 8/11	うん、クレンジングももうすぐなくなる。。
23:10	ゆうげん	おまるやんね
23:11	あすか 11/19 8/11	んー、いつもはオークル10？とかやねんけど、それやと白いかな？どやろ
23:11	ゆうげん	濃さまではわからん
23:12	ゆうげん	無印は
23:12	ゆうげん	無印でかうか楽天で買うか
23:13	あすか 11/19 8/11	いつもはオークル10やからそれでいーかなー。たぶん
23:14	あすか 11/19 8/11	無印とかも、自分で買いに行っても良かってんけど、ほかでまとめて買う方がいいんかなーて思ってゆー君に伝えた
23:14	あすか 11/19 8/11	[写真]
23:14	あすか 11/19 8/11	[写真]
23:14	あすか 11/19 8/11	[写真]
23:14	あすか 11/19 8/11	[写真]
23:14	あすか 11/19 8/11	ナギのは例えばやけどこういうの
23:15	ゆうげん	一応安いの探しては見る
23:15	ゆうげん	[写真]
23:15	ゆうげん	これが良さそう
23:16	あすか 11/19 8/11	ありがとう
23:16	あすか 11/19 8/11	私もそう思う！ちょとお高めやけど
23:16	あすか 11/19 8/11	自分で登れたらトイレ座るのも楽しく出来そう
23:24	ゆうげん	値段
23:24	ゆうげん	見えへん
23:25	あすか 11/19 8/11	トイトレの？
23:25	ゆうげん	そそ
23:28	あすか 11/19 8/11	ヤフショの値段やけど
23:28	あすか 11/19 8/11	[写真]
23:29	あすか 11/19 8/11	なんか頭がだる重状態が続いとる
23:29	あすか 11/19 8/11	とりあえず水分補給しよーと
23:34	ゆうげん	まあそこそこの値段
23:34	ゆうげん	大丈夫?
23:34	ゆうげん	水飲んで
23:34	ゆうげん	塩分とりや
23:38	あすか 11/19 8/11	ね、高いよね、良さげやけど
23:38	あすか 11/19 8/11	うん大丈夫
23:38	あすか 11/19 8/11	そうね
23:41	ゆうげん	かっとこかな
23:41	ゆうげん	グレーでいい?
23:42	ゆうげん	早めにねーや
23:42	ゆうげん	あすかの体調めっちゃ大事
23:42	あすか 11/19 8/11	うん、色はどれにしてもグレーかな、ありがとー
23:43	あすか 11/19 8/11	うん、自然に寝れる時に寝る、気をつけます！
23:46	ゆうげん	[スタンプ]
23:46	ゆうげん	[スタンプ]
23:46	ゆうげん	家たったら
23:46	ゆうげん	手料理作ったげる
23:46	ゆうげん	ハンバーグ
23:47	あすか 11/19 8/11	うわ
23:47	あすか 11/19 8/11	パパのハンバーグ食べたすぎる
23:48	あすか 11/19 8/11	あ、パパごめん…もう一個思い出した、、
23:48	あすか 11/19 8/11	ムラシャンももうすぐ無くなる、、
23:50	ゆうげん	[スタンプ]
23:53	あすか 11/19 8/11	色々ごめんー、、
23:56	ゆうげん	なんか買っとく
23:58	あすか 11/19 8/11	ありがとうございます

2022/06/03(金)
00:03	ゆうげん	買いだめしとこ
00:08	あすか 11/19 8/11	色落ちも楽しめる人はムラシャンしないんやけどね、アーリとかもしてない
00:08	あすか 11/19 8/11	私ムラシャンせんかったらどんなんなるんやろ
00:13	ゆうげん	かなり黄色強くなりそう
00:13	ゆうげん	まま
00:19	あすか 11/19 8/11	かなー？ムラシャンやめたらやばいかな
00:25	ゆうげん	まだ辞めんほうがいいね
00:34	あすか 11/19 8/11	続けさせて頂きます
00:34	あすか 11/19 8/11	ナギの誕生日の飾り付け悩む
08:44	ゆうげん	おはようさん
08:44	ゆうげん	飾り付け
08:45	ゆうげん	持ってかなあかんから
08:45	ゆうげん	頑丈なのがいいな
10:46	あすか 11/19 8/11	おはよう
10:46	あすか 11/19 8/11	風船とかつかいたいなぁ
11:01	ゆうげん	またどんなんいいか
11:01	ゆうげん	話そ
12:43	あすか 11/19 8/11	うん、話そ
12:54	ゆうげん	まじ2人に会いたい
12:54	ゆうげん	疲れた
12:57	あすか 11/19 8/11	この前ゆーくん帰ったの5/22とかやけどさ、もっと前に感じるよね
16:38	ゆうげん	まだそんなもんなのか
16:38	ゆうげん	めっちゃたってるように感じる
17:30	あすか 11/19 8/11	ね、私も今回めっちゃ会ってない感すごい
17:30	あすか 11/19 8/11	今度は17日やんな、どーしよかな
18:07	ゆうげん	どーするとは？
18:14	あすか 11/19 8/11	金曜日やから
18:14	あすか 11/19 8/11	土日おるんかな？とか
18:15	あすか 11/19 8/11	一緒におれる間に決めれること決めたいなとか
18:15	ゆうげん	あー
18:16	ゆうげん	何で帰るかによるかなぁ
18:19	あすか 11/19 8/11	どうするかまた決めといて
18:19	あすか 11/19 8/11	そろそろ報告しとかな
18:20	あすか 11/19 8/11	決めれることは壁のクロス、気になるやつピックアップしてA4サイズでサンプルもらうのお願いすることくらいかな
18:21	あすか 11/19 8/11	その他は別に一緒におれんでも決めれそう
18:22	ゆうげん	せやな
18:22	ゆうげん	また話し合お
19:07	あすか 11/19 8/11	うん
19:09	ゆうげん	そろそろ終わる
19:09	ゆうげん	ちゅかれた
19:22	あすか 11/19 8/11	お疲れ様です
19:22	あすか 11/19 8/11	土日はゆっくりできそー？
19:32	ゆうげん	できそう
19:32	あすか 11/19 8/11	そかそか、来週全出社やしね、ゆっくりしてね
19:32	ゆうげん	ゆっくりはなそ
19:33	ゆうげん	せやねん
19:33	ゆうげん	しんどい
19:33	あすか 11/19 8/11	うん、話そ
19:33	あすか 11/19 8/11	パワー送っとくなずっと
19:33	あすか 11/19 8/11	‪ﾊﾟﾜｰ(っ'-')╮=͟͟͞͞🌟‬
19:33	ゆうげん	何パワー?
19:33	あすか 11/19 8/11	出社ファイトだよーて
19:34	あすか 11/19 8/11	私は昨日の荷物運びで太ももと腕が筋肉痛
19:35	ゆうげん	大丈夫?
19:35	ゆうげん	ありがとうやで
19:40	あすか 11/19 8/11	若いからすぐおさまるはず(笑)
19:40	あすか 11/19 8/11	ナギにまた｢ピーシュ、やって｣て言われたから写真撮ってあげたら急に変なポーズしだした
19:40	あすか 11/19 8/11	[写真]
19:40	あすか 11/19 8/11	[写真]
19:50	ゆうげん	アイーンのような
19:50	ゆうげん	なんか
19:50	ゆうげん	でもかわいい
21:12	あすか 11/19 8/11	表情がなんとも言えん
21:19	ゆうげん	ナギは
21:19	ゆうげん	困り顔が
21:19	ゆうげん	かわいい
21:19	ゆうげん	あすかは
21:19	ゆうげん	悩み顔が
21:19	ゆうげん	可愛い
21:46	あすか 11/19 8/11	困り顔と悩み顔ってどう違うの？
21:46	あすか 11/19 8/11	"そして悩み顔かわいいなんて
はじめて言われたおもしろい"
21:46	あすか 11/19 8/11	(笑)
21:55	ゆうげん	かわいいよ
21:57	あすか 11/19 8/11	悩み顔ってなんや､､､
22:23	あすか 11/19 8/11	パパ寝た？

2022/06/04(土)
06:13	ゆうげん	おはよう
06:13	ゆうげん	寝落ちってしまった
08:10	あすか 11/19 8/11	おはよう
08:18	ゆうげん	昨日ごめんね
08:19	あすか 11/19 8/11	きのう？？？
08:19	ゆうげん	ねおち
08:21	ゆうげん	ご飯食べた?
08:21	ゆうげん	[写真]
08:21	ゆうげん	かわい
08:42	あすか 11/19 8/11	全然大丈夫ー
08:42	あすか 11/19 8/11	朝ごはん？ナギは食べたよ
08:42	あすか 11/19 8/11	表情がね、なんか女の子みたい
08:43	あすか 11/19 8/11	今日朝ナギにiPhoneでYouTubeみせてたんやけど
08:44	あすか 11/19 8/11	気付いたらWiFiきれてた
08:44	あすか 11/19 8/11	最悪じゃ
09:26	ゆうげん	あれま
09:57	あすか 11/19 8/11	筋肉痛残ってる
09:57	あすか 11/19 8/11	地味に辛いよな筋肉痛て
11:49	ゆうげん	最近ないな
11:49	ゆうげん	3度寝してしまった
11:54	ゆうげん	よく冷やしな
11:54	ゆうげん	筋肉痛
11:55	ゆうげん	冷やして痛み引いてから
11:55	ゆうげん	あっためるといいよ
12:40	あすか 11/19 8/11	おは
12:40	あすか 11/19 8/11	冷やしてあっためるのね
12:41	ゆうげん	そそ
12:41	ゆうげん	先あっためちゃうと
12:41	ゆうげん	結構良すぎて
12:41	ゆうげん	筋肉痛酷くなる
12:42	あすか 11/19 8/11	なんで最後あっためるの？
12:42	あすか 11/19 8/11	午前中はなぎ連れて2人でアリオ行ってきた
12:42	あすか 11/19 8/11	手芸品屋さんみたくて
12:42	ゆうげん	筋肉痛=神経痛治まったあとは筋肉が収縮してるから
12:42	ゆうげん	あっためてほぐしてあげるの
12:42	ゆうげん	無印行けた?
12:43	あすか 11/19 8/11	でも、お目当ての見つからんかった
12:43	あすか 11/19 8/11	無印はいかんかった
12:43	ゆうげん	一応ムラシャンと
12:43	ゆうげん	化粧品は安いの見つけた
12:43	あすか 11/19 8/11	無印？
12:43	ゆうげん	無印はアプリで頼んでもらおうかな
12:43	ゆうげん	マキアージュやっけ
12:43	あすか 11/19 8/11	あ、あれね！
12:44	ゆうげん	そうそう
12:44	あすか 11/19 8/11	無印は私が頼んでいける？
12:44	ゆうげん	いけるよ
12:44	あすか 11/19 8/11	今日無印よってこればよかったな😭
12:44	あすか 11/19 8/11	"お目当てのものなくて
うわぁーて感じで適当にブラブラして帰ってきた"
12:45	ゆうげん	手芸?
12:45	ゆうげん	次何作ろうとしてたん?
